"","X1","X2","X3","Order_reshape"
"519289","2513766","1858600","1988158","519289"
"519290","1671412","1448206","36925","519290"
"519296","65679","1052145","555283","519296"
"519300","857720","792890","1815377","519300"
"519301","166490","317667","483348","519301"
"519302","1865770","483270","310525","519302"
"519303","1808124","2283367","670478","519303"
"519313","980159","2175337","2434538","519313"
"519316","886541","2196962","980089","519316"
"519318","490507","692144","569713","519318"
"519322","296074","1858568","152119","519322"
"519324","1217750","29676","1275337","519324"
"519325","620171","1981000","1196150","519325"
"519336","843285","2240171","1275316","519336"
"519351","1268140","1793788","1642597","519351"
"519352","152091","288867","2909759","519352"
"519356","1268097","512108","1275297","519356"
"519357","1887387","2420141","1599357","519357"
"519367","684910","1419328","1052122","519367"
"519376","1584993","15250","173664","519376"
"519377","2045731","2290578","1901727","519377"
"519381","1095307","1469739","1174578","519381"
"526345","159150","562351","526344","526345"
"526352","202361","274361","259961","526352"
"526474","166495","80132","857751","526474"
"526476","2175366","1750601","2160998","526476"
"526477","2434561","461701","591299","526477"
"526479","173735","677750","2362564","526479"
"526480","778555","2549754","1692970","526480"
"526485","310499","65704","605692","526485"
"526489","36925","1945027","684878","526489"
"526493","1368963","2348157","2146558","526493"
"526494","375341","1808211","324948","526494"
"526496","108866","130487","440139","526496"
"526497","123312","108944","1793809","526497"
"526501","317671","1440993","58452","526501"
"526503","1361744","764133","1426607","526503"
"526514","526516","72937","461734","526514"
"526520","22513","1455395","612935","526520"
"526524","216946","1635391","1801004","526524"
"526526","821756","807372","1304159","526526"
"526527","1981000","1275366","620171","526527"
"526541","929709","828976","1966579","526541"
"526551","296121","303264","173723","526551"
"526552","1455389","1865811","1253767","526552"
"526558","1743368","2326541","1340137","526558"
"526566","1822565","1829764","2592962","526566"
"526569","2139325","1671361","1073714","526569"
"526572","1376115","144900","2024182","526572"
"526577","2448940","2456139","641755","526577"
"526579","2067344","1412155","1354564","526579"
"533544","619951","195163","497549","533544"
"533545","555150","511945","159163","533545"
"533549","274350","425555","360753","533549"
"533552","468750","223950","648755","533552"
"533557","547955","439952","166354","533557"
"533675","490484","1786614","2506566","533675"
"533678","1188944","1304177","526481","533678"
"533679","58493","2405764","2650570","533679"
"533680","850477","144894","785757","533680"
"533682","1714587","1930580","245700","533682"
"533688","634471","1361714","231318","533688"
"533693","1952172","641697","2197011","533693"
"533696","94541","1793802","1052130","533696"
"533697","1808212","1966596","274509","533697"
"533701","1872943","764082","382512","533701"
"533702","116091","288876","1188920","533702"
"533703","72915","36938","2506567","533703"
"533722","1174559","1656963","1196152","533722"
"533725","252884","1973826","713731","533725"
"533726","1995390","2585773","1836980","533726"
"533727","987327","1138536","2017000","533727"
"533730","360946","1332991","447327","533730"
"533732","807356","900935","1541800","533732"
"533735","1491398","1729000","137748","533735"
"533741","1116901","1001710","1599351","533741"
"533747","2067368","1109737","1772168","533747"
"533748","2369732","2924158","1923373","533748"
"533749","1448145","1930590","2722559","533749"
"533751","166492","562482","288897","533751"
"533756","944163","2499377","1102510","533756"
"533757","656149","1232111","2268931","533757"
"533763","2794558","2319376","137650","533763"
"533777","1736122","1988183","1124107","533777"
"533779","1764968","1368928","900904","533779"
"540751","569554","641553","288749","540751"
"540752","108757","598354","274349","540752"
"540879","591287","1808164","476150","540879"
"540887","1800979","267265","504889","540887"
"540888","209708","872155","454551","540888"
"540889","1534581","1419387","2038572","540889"
"540891","346497","1296909","1541761","540891"
"540893","2168199","58519","288931","540893"
"540895","44157","432935","468934","540895"
"540896","1426602","699321","1527406","540896"
"540897","101710","1995388","1966591","540897"
"540898","483289","2513769","454482","540898"
"540902","2016991","1692966","1606586","540902"
"540903","555299","2693762","72931","540903"
"540907","1203338","548105","1469746","540907"
"540922","1808217","1808220","1772221","540922"
"540923","490538","922533","1945001","540923"
"540926","252934","504931","612967","540926"
"540930","936976","1642593","526530","540930"
"540931","692119","2607354","958567","540931"
"540932","2139342","1167355","2355343","540932"
"540934","58550","72852","166551","540934"
"540935","1887409","1829825","1743412","540935"
"540936","663358","1116972","476086","540936"
"540941","684949","2297745","1203314","540941"
"540950","216916","1585012","490536","540950"
"540951","1786603","1930617","353745","540951"
"540953","461695","29656","699359","540953"
"540959","1433737","857724","764099","540959"
"540960","1973761","922508","1887364","540960"
"540977","2045740","1440947","569760","540977"
"540979","1793786","375324","324929","540979"
"547944","245563","79950","447156","547944"
"547952","267161","324760",NA,"547952"
"548075","80080","101689","886485","548075"
"548079","87331","1649811","2232958","548079"
"548085","720938","533750","512070","548085"
"548086","1585004","166539","1563397","548086"
"548096","1887400","1563412","15312","548096"
"548097","123317","1894592","706515","548097"
"548098","2304968","224092","72898","548098"
"548102","1829772","1376128","58527","548102"
"548108","1800937","2088944","1772168","548108"
"548121","152127","173754","1757802","548121"
"548129","1815404","641739","1966630","548129"
"548130","1448195","1196182","1779403","548130"
"548131","281735","2470575","526522","548131"
"548134","1894595","1851405","1966626","548134"
"548140","1620996","1959351","1296918","548140"
"548144","440112","1880158","1016158","548144"
"548145","2247362","634488","2578554","548145"
"548150","2283368","245688","1383350","548150"
"548161","1966571","1930543","1642569","548161"
"548178","2556942","2290545","2844956","548178"
"548179","915315","936948","2168133","548179"
"555152","612754","281557","166356","555152"
"555276","267302","108858","288904","555276"
"555279","252913","360906","2297736","555279"
"555288","706543","180897","51261","555288"
"555292","15248","94466","1851411","555292"
"555294","1138522","238471","2110566","555294"
"555295","2160934","58535","1311395","555295"
"555296","785749","152101","1203379","555296"
"555300","317714","1116936","1325792","555300"
"555302","1700176","857726","526513","555302"
"555303","108918","339331","1491359","555303"
"555304","447307","432919","951303","555304"
"555321","396895","2081796","929773","555321"
"555325","929773","1664210","396895","555325"
"555327","1628205","173711","267344","555327"
"555328","195269","483331","173668","555328"
"555330","1102580","2384139","1311357","555330"
"555332","764133","1426607","195281","555332"
"555334","188087","641725","2016999","555334"
"555339","1116901","677713","2477756","555339"
"555351","44146","454473","1909006","555351"
"555352","447283","1289722","1448190","555352"
"555353","1714605","116142","1916182","555353"
"555361","2024153","1433729","1527356","555361"
"555367","569710","2110559","1296967","555367"
"555376","1260952","576870","2592962","555376"
"555379","2016952","1973752","1044908","555379"
"562348","79941","274343","245540","562348"
"562349","598351","187954","468749","562349"
"562352","612753","209561","346359","562352"
"562356","490357","591159","547958","562356"
"562472","504944","1757753","893703","562472"
"562475","58529","850560","1865803","562475"
"562476","1887342","1822601","1023289","562476"
"562486","1181777","1232098","1772171","562486"
"562488","80138","1635384","1311311","562488"
"562496","1152968","1311393","29755","562496"
"562497","1894582","1174575","972969","562497"
"562499","1102551","1613788","360930","562499"
"562500","461713","1289753","526491","562500"
"562502","1196105","180862","821689","562502"
"562504","735333","764107","1930541","562504"
"562505","1426575","1959337","951310","562505"
"562507","785749","152101","1203379","562507"
"562521","1505763","224059","2168137","562521"
"562524","303342","137748","1491398","562524"
"562525","1585003","317666","1649812","562525"
"562526","1851390","1872941","1944987","562526"
"562527","94537","274487","51343","562527"
"562528","2016993","778561","634541","562528"
"562530","1721790","2240136","1109735","562530"
"562531","706562","432930","936928","562531"
"562533","1599413","2168210","238472","562533"
"562543","1289804","2679370","252889","562543"
"562551","1988137","735317","483305","562551"
"562552","51336","1714602","65678","562552"
"562561","1181782","1088117","2124959","562561"
"562565","2024134","1858534","2348175","562565"
"562570","2643369","317677","288865","562570"
"562576","576978","512173","576870","562576"
"562577","627378","173650","2369737","562577"
"562578","2074529","1469772","2585768","562578"
"562579","1224908","2103351","1829788","562579"
"569548","555147","51142","187952","569548"
"569552","360759","526353","641557","569552"
"569672","1469799","404085","1628212","569672"
"569673","684878","1945027","188135","569673"
"569674","519293","1325804","1268129","569674"
"569675","360926","418522","706491","569675"
"569682","1412192","951369","123341","569682"
"569683","468874","1289797","756881","569683"
"569688","756880","1527404","576882","569688"
"569690","224060","728102","375265","569690"
"569693","231331","224059","656163","569693"
"569696","1865770","483270","310525","569696"
"569697","1872968","72919","2153746","569697"
"569699","1988156","1318603","1837000","569699"
"569700","238503","576890","879287","569700"
"569701","1116943","58539","317729","569701"
"569703","2182565","778484","281666","569703"
"569705","2031389","1534552","1937765","569705"
"569707","792905","958504","2045761","569707"
"569712","1131367","612871","1988185","569712"
"569717","195259","188101","1541751","569717"
"569724","576972","965764","1865806","569724"
"569725","1858615","641741","1944995","569725"
"569726","173744","1923414","224130","569726"
"569727","1642593","526530","936976","569727"
"569728","1044941","2247334","468928","569728"
"569730","699370","2470574","2456175","569730"
"569733","1721776","1656972","555320","569733"
"569750","1700170","1512962","1930584","569750"
"569751","483298","1620987","1599392","569751"
"569759","828915","1930533","2132170","569759"
"569763","562567","576963","591357","569763"
"569767","1030511","1520163","2628967","569767"
"569768","1052114","2232943","1145761","569768"
"569771","1347391","22476","879331","569771"
"576745",NA,NA,NA,"576745"
"576752","144762","396760","403961","576752"
"576872","447345","1916203","1383345","576872"
"576873","8088","1916143","368149","576873"
"576881","1440974","51257","2326567","576881"
"576883","828949","1664147","238459","576883"
"576887","2124940","36918","692098","576887"
"576888","1736155","1016109","756880","576888"
"576889","648936","1606566","324875","576889"
"576892","1858585","533686","1692989","576892"
"576894","238520","389740","2189747","576894"
"576896","1671403","1700202","44125","576896"
"576897","368109","490543","2146550","576897"
"576899","1311312","864900","260105","576899"
"576900","29733","440077","166489","576900"
"576901","1347402","1887404","51353","576901"
"576903","1203310","1793757","1599357","576903"
"576905","440122","677712","1275294","576905"
"576906","2232959","1786573","1469776","576906"
"576907","872104","396917","2592950","576907"
"576917","1599358","1304117","728147","576917"
"576919","202537","2110567","684958","576919"
"576925","1210551","1563401","987369","576925"
"576926","2686571","1973830","1167335","576926"
"576929","137743","1851407","1916206","576929"
"576930","44072","1901820","1232203","576930"
"576936","2340944","1088122","1304159","576936"
"576943","2053005","152119","94515","576943"
"576946","1844204","504891","209695","576946"
"576951","2182590","612953","2513756","576951"
"576959","641756","1901720","612957","576959"
"576967","2708163","1354533","663320","576967"
"576968","1894535","2038540","1426570","576968"
"576976","1649752","1793775","821699","576976"
"576977","2124987","886544","742533","576977"
"576979","2081729","1527343","2268938","576979"
"583947","411141","382341","281546","583947"
"583952","43952","317540","295962","583952"
"584072","101692","1433730","2261762","584072"
"584073","1059338","1325722","101724","584073"
"584088","2060203","432874","224063","584088"
"584093","2247373","152137","1354576","584093"
"584094","418503","267330","771279","584094"
"584095","195313","144918","1541810","584095"
"584096","116066","36917","51332","584096"
"584097","2931359","1066537","116067","584097"
"584099","692088","2506545","980089","584099"
"584100","425719","980094","663319","584100"
"584102","598485","555282","627297","584102"
"584104","497762","1253720","2038586","584104"
"584106","1973765","836111","2254542","584106"
"584108","1059305","2276136","1224893","584108"
"584122","180867","1765024","1801007","584122"
"584124","706574","1253775","245685","584124"
"584127","1952195","2528162","2643346","584127"
"584134","1952221","123273","605734","584134"
"584151","1145742","1952181","1260999","584151"
"584157","1224930","598510","468969","584157"
"584163","2398555","2196931","598560","584163"
"584164","663377","1505792","2132171","584164"
"584176","1793740","1340155","1836930","584176"
"584179","1592183","2362573","1664179","584179"
"591152","411159","605553","396760","591152"
"591272","44141","2153766","1174570","591272"
"591273","728138","2319368","764136","591273"
"591283","468893","1304180","80139","591283"
"591288","353701","483316","101698","591288"
"591295","29659","36859","562519","591295"
"591298","238513","2024158","555280","591298"
"591300","44098","1109744","1757754","591300"
"591301","80133","2103404","267296","591301"
"591307","1764957","1282525","1887322","591307"
"591310","1390530","1311396","1368941","591310"
"591320","677690","389666","1203303","591320"
"591324","80053","1369005","1124123","591324"
"591327","252931","1980993","1253797","591327"
"591330","1944992","1318562","2578557","591330"
"591335","180860","1275397","656155","591335"
"591345","382493","58454","368136","591345"
"591346","339270","1347396","1743418","591346"
"591350","1455342","526472","58505","591350"
"591356","2060133","850514","857740","591356"
"591361","1548975","1584971","1512970","591361"
"591364","778547","2585761","936905","591364"
"591366","2808958","1210532","1973734","591366"
"591367","936958","1836982","224116","591367"
"591368","1692947","2096195","2009726","591368"
"591376","36844","1476989","2441778","591376"
"591377","742503","1505740","2016925","591377"
"598348","519150","22357","137563","598348"
"598471","1786624","857677","44097","598471"
"598486","2060153","1440974","1556149","598486"
"598487","519268","1916187","94510","598487"
"598488","605774","58468","461695","598488"
"598500","2261766","562547","965758","598500"
"598501","2636156","2456173","1736154","598501"
"598502","317699","130455","1944999","598502"
"598507","1736179","1354533","2708163","598507"
"598524","2009802","101700","584145","598524"
"598526","670526","1448200","2031404","598526"
"598527","389700","648970","461745","598527"
"598534","267273","656171","332142","598534"
"598535","1844168","2053018","2412968","598535"
"598550","2463366","620095","1980983","598550"
"598552","1232150","512142","1577795","598552"
"598554","2362542","864947","641682","598554"
"598555","2535353","1008913","2931356","598555"
"598562","1592158","1966557","807300","598562"
"598566","771297","36844","1476989","598566"
"598567","281728","1527347","202517","598567"
"598568","1066528","2355341","1116982","598568"
"598579","1772189","929724","2679356","598579"
"605552","569554","641553","598356","605552"
"605670","346527","598490","497756","605670"
"605675","375270","267330","1563392","605675"
"605676","1188944","1304177","526481","605676"
"605677","324900","382542","555307","605677"
"605687","1534548","504889","1851381","605687"
"605696","252896","1304133","1995396","605696"
"605697","2261769","1613766","1383402","605697"
"605700","152136","2175334","1390517","605700"
"605701","1757770","1016093","2362569","605701"
"605706","850559","1520151","2081743","605706"
"605711","1556162","2038585","2139387","605711"
"605724","404123","893745","29675","605724"
"605726","2412964","2470539","569772","605726"
"605736","166531","1592165","1325801","605736"
"605745","1995367","1181756","908170","605745"
"605747","188108","1851385","274509","605747"
"605753","2600150","2808953","346516","605753"
"605755","857746","1224987","2405749","605755"
"605761","2196928","2398530","2002548","605761"
"605762","411371","1937827","1728922","605762"
"605767","1628206","886515","555320","605767"
"605769","80101","742519","202500","605769"
"605773","922560","1016116","951317","605773"
"605776","1066505","749714","857711","605776"
"612874","605671","944085","2261734","612874"
"612875","274501","1908963","1376147","612875"
"612887","1945027","684878","188135","612887"
"612890","728084","1721781","152095","612890"
"612900","202508","1700211","22490","612900"
"612905","1937765","1534552","1109703","612905"
"612907","339298","29681","137731","612907"
"612908","1829774","1959330","1239314","612908"
"612922","116072","2009791","159338","612922"
"612923","1196180","65708","843352","612923"
"612936","1736211","195332","296152","612936"
"612951","1808186","202493","411329","612951"
"612952","2657746","2643353","58480","612952"
"612956","1944984","598474","209703","612956"
"612958","929708","1772123","1865776","612958"
"612962","612949","656145","152048","612962"
"612977","267259","1743358","1217721","612977"
"612979","1073714","2139325","1894534","612979"
"613531","771931","764731","1571119","613531"
"619957","519159","231154","634357","619957"
"620073","1073689","2146554","195290","620073"
"620075","2110565","821723","1253694","620075"
"620077","209691","1563380","1340143","620077"
"620087","576882","1527404","756880","620087"
"620089","1541779","497704","346525","620089"
"620090","591281","2708164","1376204","620090"
"620100","447348","1786611","2520957","620100"
"620103","735315","2052950","972913","620103"
"620115","2355334","872113","1520185","620115"
"620119","1332924","2060192","576922","620119"
"620120","281692","771319","562487","620120"
"620122","987377","2182541","1116942","620122"
"620124","879355","785750","231339","620124"
"620132","504886","1188980","310476","620132"
"620133","1937795","1923411","1073779","620133"
"620142","159345","2607355","713757","620142"
"620144","2132195","2124994","900948","620144"
"620149","1332980","2052943","792889","620149"
"620152","1253747","123256","1858586","620152"
"620160","1476925","1988166","1584965","620160"
"620166","123263","656152","1354521","620166"
"620167","1174504","879297","1793796","620167"
"620179","764148","137649","1620952","620179"
"627152","627155","346353","648756","627152"
"627273","1404981","2283363","620081","627273"
"627275","404098","1937781","1880178","627275"
"627276","123328","857682","180863","627276"
"627286","87309","483292","1736202","627286"
"627287","1916199","1311337","872160","627287"
"627289","490512","2067380","1426571","627289"
"627296","1023341","1217741","195328","627296"
"627303","504959","1203364","1289719","627303"
"627307","1232122","2139350","1059351","627307"
"627308","980121","1052136","1908976","627308"
"627332","1944992","1318562","2578557","627332"
"627335","51313","1282603","1880143","627335"
"627341","605735","2045819","1909015","627341"
"627345","2038526","2463333","2124952","627345"
"627354","2124934","1908946","540908","627354"
"627373","116064","65729","1347399","627373"
"627374","756939","1952227","576927","627374"
"627379","778541","1217732","2513743","627379"
"627381","2276145","620181","2024139","627381"
"634472","1404931","2448978","310483","634472"
"634473","1772209","1606565","497696","634473"
"634475","1433731","533685","540905","634475"
"634476","1217774","1664207","137664","634476"
"634482","260066","2276164","2470572","634482"
"634486","1786535","1779368","1764927","634486"
"634489","317703","1498547","1318515","634489"
"634491","1059325","555316","353700","634491"
"634498","555283","65679","87290","634498"
"634520","101693","634490","1383384","634520"
"634535","339349","87308","1390607","634535"
"634550","2585770","267261","2556955","634550"
"634568","2751363","1520145","224112","634568"
"634569","1880139","1232142","634477","634569"
"634570","713739","1909006","44146","634570"
"634572","1952179","864924","893720","634572"
"634573","231281","130539","51330","634573"
"634574","180907","65683","303325","634574"
"634575","1678584","274517","778550","634575"
"634577","411313","1008908","1757779","634577"
"634581","1484170","1066552","1462568","634581"
"641672","65685","1016165","94514","641672"
"641673","404137","418490","2081804","641673"
"641674","684939","584152","296124","641674"
"641675","1318601","382484","137684","641675"
"641676","404100","1858573","310508","641676"
"641678","1692966","2016991","2175367","641678"
"641681","1937798","800139","519348","641681"
"641685","1167351","1786616","180933","641685"
"641688","245714","2672153","2038579","641688"
"641689","612896","360914","1196166","641689"
"641696","382498","44131","389674","641696"
"641698","209666","468876","497742","641698"
"641699","288916","699285","713768","641699"
"641707","526484","533737","2420162","641707"
"641710","2132149","1520167","2506553","641710"
"641716","1412190","2240164","396939","641716"
"641717","2362562","152055","332100","641717"
"641718","1808193","1628160","180945","641718"
"641719","368064","2398542","1001705","641719"
"641730","2024205","1945018","389745","641730"
"641732","1721795","807332","1059329","641732"
"641734","2002590","476079","2146546","641734"
"641735","958534","1779415","1685768","641735"
"641752","526468","1736210","1714574","641752"
"641765","2744162","670563","1678590","641765"
"641768","2369742","339339","1109770","641768"
"641769","2110602","80140","2016987","641769"
"641772","195260","152102","339265","641772"
"641773","893735","828932","1981017","641773"
"641775","1073701","584148","1073768","641775"
"641777","1023321","1404936","1232131","641777"
"648753","411151","591156","461551","648753"
"648872","1376199","1988211","1203376","648872"
"648873","1671412","1448206","36925","648873"
"648874","1757809","684885","303283","648874"
"648875",NA,NA,NA,"648875"
"648876","1196120","2132198","2657747","648876"
"648879","540937","80141","310493","648879"
"648885","1671412","1448206","36925","648885"
"648888","418501","2261772","2600165","648888"
"648889","922503","2664963","1433742","648889"
"648896","260070","576945","1397804","648896"
"648898","958554","1023349","1073700","648898"
"648899","281679","2513779","627320","648899"
"648906","411371","1937827","1728922","648906"
"648907","2110580","706547","2175364","648907"
"648915","1966560","627364","591375","648915"
"648917","44120","2160950","101705","648917"
"648918","1318520","1613760","533713","648918"
"648924","519334","879331","22476","648924"
"648932","36929","1786587","375279","648932"
"648935","526537","2175410","159307","648935"
"648951","1484202","72892","1851391","648951"
"648961","1347302","1822581","1844157","648961"
"648965","1167335","2686571","656169","648965"
"648966","202533","36868","879328","648966"
"648967","2456175","1160151","612924","648967"
"648968","1930617","173672","1088178","648968"
"648972","893752","864903","1887356","648972"
"648973","1873012","1390583","1901814","648973"
"648974","886533","1044979","1325763","648974"
"648979","1858527","2700961","1916145","648979"
"648980","1484175","519379","2744158","648980"
"655953","519153","583957","504757","655953"
"656074","1412139","1246552","1772131","656074"
"656075","1779415","2168146","1599362","656075"
"656076","627369","1527403","2153751","656076"
"656079","2664954","627311","2168165","656079"
"656083","1743415","468897","1505791","656083"
"656084","1851391","72892","1484202","656084"
"656085","159260","65720","195264","656085"
"656088","1944943","317700","252926","656088"
"656089","677747","972899","857715","656089"
"656090","447309","2117767","2556959","656090"
"656096","764118","1613796","1102570","656096"
"656097","857685","231302","1361712","656097"
"656106","432922","670544","1721765","656106"
"656108","1217780","1865741","1541767","656108"
"656112","1664201","440126","432940","656112"
"656115","173653","1620985","1116918","656115"
"656117","771342","735330","936965","656117"
"656123","980128","1966628","2002604","656123"
"656131","1952193","238531","1952196","656131"
"656151","2376970","404082","1685808","656151"
"656154","605673","1786553","2592958","656154"
"656157","252863","1404919","2556966","656157"
"656161","1714537","1865789","893705","656161"
"656164","1959418","224069","1959392","656164"
"656165","1368917","173683","1397785","656165"
"656167","1044940","332134","2348145","656167"
"656172","87280","58541","1671373","656172"
"656175","1599393","1239346","2060177","656175"
"656178","1325721","2268969","2448946","656178"
"656180","2592962","1260952","1822565","656180"
"663153","648752","454355","511956","663153"
"663274","1736155","1016109","447311","663274"
"663275","454483","771324","1116979","663275"
"663276","677685","137739","267318","663276"
"663277","108859","296102","454496","663277"
"663283","432892","353740","670536","663283"
"663284","548095","1656995","1908990","663284"
"663286","310529","303327","1700166","663286"
"663292","864880","670487","404114","663292"
"663296","648887","1088139","1908980","663296"
"663297","2232959","1786573","1469776","663297"
"663304","893719","1995359","1973741","663304"
"663305","922565","792908","958525","663305"
"663317","792902","2441764","2088966","663317"
"663322","80138","1635384","1649801","663322"
"663331","886568","231269","584171","663331"
"663346","1383374","317705","771292","663346"
"663351","1232166","684935","1318561","663351"
"663352","44127","2268937","2513746","663352"
"663354","324882","2110566","1520204","663354"
"663356","1642551","2657775","2549748","663356"
"663357","1656997","159290","1757785","663357"
"663359","29741","1296923","2268949","663359"
"663362","886529","692132","346528","663362"
"663363","483329","612965","706520","663363"
"663367","807332","1721795","1160139","663367"
"663370","569729","864930","346538","663370"
"663372","80140","2110602","130481","663372"
"663373","1916210","483334","1304183","663373"
"663380","2700958","1736120","1930550","663380"
"670353","108757","598354","274349","670353"
"670474","504944","1757753","893703","670474"
"670475","1671400","1822607","1073771","670475"
"670476","252864","1073725","1772204","670476"
"670477","80055","2614555","36851","670477"
"670481","44097","893776","1786624","670481"
"670485","1246591","296092","231315","670485"
"670495","1419375","2125002","274495","670495"
"670496","555271","1066486","1282505","670496"
"670497","706545","2484938","1973782","670497"
"670504","1275323","519307","2009768","670504"
"670505","670544","1721765","2261731","670505"
"670512","461718","764119","1549010","670512"
"670513","137702","778501","2326563","670513"
"670515","886496","274459","396928","670515"
"670525","605746","1138581","1829768","670525"
"670529","836152","2448975","1073737","670529"
"670533","2412968","303344","1844216","670533"
"670534","2024199","2009804","1909011","670534"
"670551","1599410","922526","591297","670551"
"670552","1167368","1592200","886531","670552"
"670557","2276149","1628188","303291","670557"
"670559","1080923","2434565","612974","670559"
"670560","2297769","2391360","749764","670560"
"670569","828932","1981017","893735","670569"
"670571","2600155","886535","1145749","670571"
"670572","1916199","1311337","872160","670572"
"670577","987379","1527363","1174578","670577"
"670578","1527381","116050","2060183","670578"
"677553","303159","303152","360756","677553"
"677554","627157","627154","432753","677554"
"677674","1239374","425741","1707401","677674"
"677675","576882","1527404","1937826","677675"
"677676","1253793","1988141","1800999","677676"
"677677","65720","1138527","58482","677677"
"677684","663281","188135","684878","677684"
"677689","80133","267296","2103404","677689"
"677697","1728955","2182540","2153742","677697"
"677698","1829767","2103378","1844196","677698"
"677704","699310","735351","2096144","677704"
"677715","893703","1757753","504944","677715"
"677717","1556189","166487","137719","677717"
"677720","2009793","260098","483273","677720"
"677725","1923417","1887416","1966619","677725"
"677726","425678","418478","411278","677726"
"677727","1808210","1980996","1729000","677727"
"677729","569749","1217789","836160","677729"
"677735","1851383","296068","418489","677735"
"677741","404127","1397718","900895","677741"
"677751","605721","144859","202521","677751"
"677752","598536","1016171","713738","677752"
"677756","1368926","1188907","1455387","677756"
"677757","684886","1138535","879309","677757"
"677758","936934","1160171","159262","677758"
"677759","540949","159293","2067398","677759"
"677760","2132146","1527348","159261","677760"
"677767","1066528","2355341","1203340","677767"
"677770","353733","1188941","692119","677770"
"677772","864932","2628956","2643354","677772"
"684754","216761","684755","259961","684754"
"684875","1642595","130486","281731","684875"
"684876","2168146","1599362","1311388","684876"
"684877","339286","980168","1181720","684877"
"684879","483298","1620987","1599392","684879"
"684880","1116922","317724","1116957","684880"
"684884","1736155","1016109","447311","684884"
"684895","2261770","771281","893771","684895"
"684898","591297","1188968","476084","684898"
"684899","987312","526506","1944976","684899"
"684901","2009782","1916149","627313","684901"
"684902","375273","569742","936958","684902"
"684904","994515","1548953","1181769","684904"
"684909","2477750","1044922","915308","684909"
"684911","360918","1656957","1260897","684911"
"684915","159297","720928","1584957","684915"
"684918","1829819","310551","2067390","684918"
"684919","123348","1757799","418534","684919"
"684924","922533","490538","1945001","684924"
"684925","893731","1801003","504931","684925"
"684933","1455394","504892","108911","684933"
"684936","555311","1592161","620079","684936"
"684951","2297765","591373","1210534","684951"
"684952","188144","101718","1894584","684952"
"684953","281669","1981028","1952202","684953"
"684954","454543","123324","80092","684954"
"684957","519319","411290","1282602","684957"
"684959","1534603","22544","440071","684959"
"684960","1167329","1268189","2549759","684960"
"684961","1808202","1786604","1556197","684961"
"684962","684968","670553","2024192","684962"
"684964","2002589","1793817","468949","684964"
"684965","2031399","1296939","684930","684965"
"684969","548090","612881","72930","684969"
"684970","1160139","1909011","807332","684970"
"684971","634522","1995393","216932","684971"
"684972","1160134","1289745","2693771","684972"
"684973","15262","2362565","497731","684973"
"684976","612955","2254564","2326569","684976"
"684981","2492144","1008948","483372","684981"
"691954","202361","274361","324760","691954"
"692075","1246576","310470","404096","692075"
"692076","1469799","404085","1376193","692076"
"692077","36925","1945027","684878","692077"
"692079","108941","836131","58537","692079"
"692083","468948","828884","101698","692083"
"692084","2549764","1606590","411279","692084"
"692085","1664198","260119","1311336","692085"
"692090","1368924","116085","1923386","692090"
"692091","684897","1613753","1232157","692091"
"692097","2038557","1440944","1541747","692097"
"692099","1743368","915326","2326541","692099"
"692102","468881","2319344","2398565","692102"
"692103","2110558","785748","375317","692103"
"692104","288917","2189762","706556","692104"
"692106","2038553","2081742","2117794","692106"
"692110","771343","1793791","245711","692110"
"692117","2153760","80112","1858579","692117"
"692118","1959426","375346","353743","692118"
"692124","1268153","864931","2650546","692124"
"692125","224135","2161001","2650545","692125"
"692127","1203378","1476996","1455343","692127"
"692133","166527","144933","231295","692133"
"692136","2564154","65682","1491379","692136"
"692149","2420138","123258","1844190","692149"
"692150","468944","828888","1908957","692150"
"692151","2650567","749748","756944","692151"
"692152","872090","1721808","2168137","692152"
"692156","533715","1066529","1808225","692156"
"692157","288867","152091","267271","692157"
"692159","137712","2391371","15313","692159"
"692160","267330","375270","1563392","692160"
"692161","1073729","1203382","1052139","692161"
"692164","1966587","274464","1642603","692164"
"692165","620171","1981000","1196150","692165"
"692167","1959398","1484144","1318593","692167"
"692170","872150","656160","1203343","692170"
"692171","2376945","2132140","288944","692171"
"692172","2456177","2420161","2146540","692172"
"692175","1944950","771298","2204197","692175"
"692179","1109764","2045734","2758561","692179"
"692180","2700958","1736120","1930550","692180"
"699152","432749","598357","288749","699152"
"699153","619953","576753","598353","699153"
"699154","202361","274361","259961","699154"
"699274","1239381","353690","382505","699274"
"699275","1289793","108860","1577804","699275"
"699276","238530","1304196","555345","699276"
"699277","346493","612884","1289715","699277"
"699278","36925","1945027","684878","699278"
"699279","1743408","1642599","346467","699279"
"699282","411330","584101","144929","699282"
"699283","368096","288920","468948","699283"
"699291","1181730","36881","1599385","699291"
"699292","375314","2448965","670558","699292"
"699295","1793812","1311303","1772195","699295"
"699296","173664","1224990","65736","699296"
"699297","346508","1224901","720975","699297"
"699302","418515","2333764","915364","699302"
"699306","749699","497755","800097","699306"
"699314","1217720","1275313","2261731","699314"
"699315","173664","1224990","65736","699315"
"699318","1044940","332134","2348145","699318"
"699319","2556958","900928","2506549","699319"
"699322","1289782","1282574","2542547","699322"
"699324","2607354","958567","2600155","699324"
"699325","692153","749718","1376175","699325"
"699336","1721814","1714615","288872","699336"
"699338","108909","1894581","44081","699338"
"699347","1196140","670482","936887","699347"
"699352","245676","22512","490499","699352"
"699353","1448143","879362","944165","699353"
