"","X1","X2","X3","Order_reshape"
"29770","144977","15366","58572","29770"
"29774","36978","15389","87387","29774"
"29780","72990","144980","108978","29780"
"29785","65778","51374","44183","29785"
"29786","108980","123384","80181","29786"
"29793","80193","51393","65790","29793"
"33073","40272",NA,NA,"33073"
"33074","40272",NA,NA,"33074"
"36740","51156","547950","58356","36740"
"36747","65551","281562","137553","36747"
"36748","87155","519147","123149","36748"
"36751","87141","58357","195140","36751"
"36753","317547","339146","519144","36753"
"36755","115946","382342","252743","36755"
"36758","511950","317548","159162","36758"
"36847","785746","1570586","1044964","36847"
"36848","670523","396882","1599391","36848"
"36852","2038594","15256","447275","36852"
"36853","1729003","512087","483336","36853"
"36854","1613805","87307","281742","36854"
"36857","2650547","1757772","1253710","36857"
"36862","1477003","173714","360890","36862"
"36865","44075","1102539","2607356","36865"
"36867","123308","65667","404078","36867"
"36871","1750597","1664211","1520207","36871"
"36872","785760","828955","2528162","36872"
"36875","929772","792961","720973","36875"
"36877","1959403","1894600","1340144","36877"
"36882","87286","130494","368098","36882"
"36884","1520203","1678583","58526","36884"
"36885","216921","1800999","1988141","36885"
"36886","958534","1779415","1685768","36886"
"36887","1930540","519350","562491","36887"
"36889","497776","22516","346489","36889"
"36890","137660","576939","1700213","36890"
"36897","1232098","1995373","1037706","36897"
"36900","1318561","468939","684935","36900"
"36905","2081794","152061","396941","36905"
"36906","526523","317729","58539","36906"
"36909","281685","1131341","245729","36909"
"36916","1700211","22490","202508","36916"
"36922","1779400","94459","699362","36922"
"36923","324882","2110566","1520204","36923"
"36924","2412959","1340202","137686","36924"
"36944","15262","2362565","929729","36944"
"36946","418477","368087","15339","36946"
"36947","80078","1556202","87340","36947"
"36948","1959403","1894600","1340144","36948"
"36949","1923417","1894608","1887416","36949"
"36952","166544","1988216","1865816","36952"
"36958","1851421","1822626","1786621","36958"
"36967","44169","44170","36976","36967"
"36968","29765","36969","15365","36968"
"36985","29789","65785","166576","36985"
"36992","44185","180978","166578","36992"
"40273","33072",NA,NA,"40273"
"43940","562350","497544","166349","43940"
"43947","36742","576747","403941","43947"
"43948","439950","591158","454352","43948"
"43953","468749","454357","29557","43953"
"43954","15141","101544","238340","43954"
"43955","382347","540747","375147","43955"
"43959","519158","252763","353552","43959"
"43961","526353","367959","389559","43961"
"44053","202531","2672170","627361","44053"
"44054","656135","627370","29740","44054"
"44055","1743418","1894611","1513005","44055"
"44057","209719","195295","1253792","44057"
"44062","396940","310474","1721812","44062"
"44065","692153","1376175","1541802","44065"
"44068","1635372","425689","87311","44068"
"44070","267274","123331","80121","44070"
"44071","389680","1815410","281726","44071"
"44077","360887","1599404","1743422","44077"
"44084","2499359","512072","188124","44084"
"44086","893760","1023292","836123","44086"
"44087","389673","123322","663337","44087"
"44088","1793788","1268140","1642597","44088"
"44089","454547","699326","1894593","44089"
"44096","2088995","1635387","389736","44096"
"44100","713689","15299","1628197","44100"
"44104","2160999","339313","51260","44104"
"44109","1844215","540915","1556200","44109"
"44124","1916143","8088","368149","44124"
"44142","1066529","533715","1743405","44142"
"44144","634532","2592942","281733","44144"
"44148","29759","195341","29757","44148"
"44149","2369739","1858607","1901795","44149"
"44152","1520199","612921","2089020","44152"
"44156","504886","1188980","310476","44156"
"44184","94581","101786","29792","44184"
"51140","389541","137540","216748","51140"
"51148","598355","677556","569557","51148"
"51152","123153","547945","605550","51152"
"51153","475956","432752","339152","51153"
"51155","331948","483148","331943","51155"
"51158","360749","259949","655952","51158"
"51159","295956","187951","382354","51159"
"51161","123163","274353","295955","51161"
"51252","332151","1729019","1455403","51252"
"51253","1729017","1945010","1210588","51253"
"51255","1757817","80110","188144","51255"
"51266","80117","202531","159354","51266"
"51268","1527395","2564173","36861","51268"
"51270","130480","1793818","94518","51270"
"51271","1448201","1837013","1815425","51271"
"51277","1584997","2542559","346539","51277"
"51283","490550","29691","1296921","51283"
"51285","202510","1455342","72943","51285"
"51286","814538","857743","1311349","51286"
"51287","735352","2499378","483295","51287"
"51288","490501","440142","1930566","51288"
"51289","512137","490498","2420173","51289"
"51290","180859","648957","2607351","51290"
"51291","620099","447293","533740","51291"
"51295","2103382","598569","159259","51295"
"51297","382540","1340134","749690","51297"
"51300","1368926","180864","1188907","51300"
"51301","728129","209679","1282601","51301"
"51304","2506564","1196135","497674","51304"
"51309","180909","216864","267267","51309"
"51310","51307","728141","684903","51310"
"51316","483293","1757814","1405004","51316"
"51319","1505780","1937789","1109722","51319"
"51322","1275334","1577789","296066","51322"
"51323","555272","951364","1937783","51323"
"51324","65712","1548987","1383316","51324"
"51344","1973804","1088140","584123","51344"
"51349","1887416","1966619","245741","51349"
"51350","1649774","1952217","605727","51350"
"51357","2045791","1880205","1829805","51357"
"51368","36964","36965","29764","51368"
"51385","15388","152175","44185","51385"
"51386","123387","101775","80181","51386"
"51394","65788","87392","22594","51394"
"58340","425540","151948","461542","58340"
"58350","555147","51142","187952","58350"
"58352","634348","72757","223949","58352"
"58353","627148","43956","79956","58353"
"58358","87149","130362","115963","58358"
"58359","137562","144752","274355","58359"
"58451","1786611","447348","130489","58451"
"58453","512137","1757804","490498","58453"
"58457","850530","1383403","51314","58457"
"58461","1188920","288876","432903","58461"
"58462","202478","1088179","310480","58462"
"58463","598533","1527399","51356","58463"
"58466","346489","22516","483303","58466"
"58469","490498","2420173","512137","58469"
"58470","2024205","1945018","382489","58470"
"58471","116117","1260991","1556180","58471"
"58473","2420174","1844201","1844218","58473"
"58477","116070","1318578","1930611","58477"
"58481","1700167","1944988","2225764","58481"
"58483","749719","648877","728143","58483"
"58484","22532","1649795","188088","58484"
"58486","1102560","2477767","360922","58486"
"58487","274531","2196940","288897","58487"
"58488","497736","108909","1894581","58488"
"58489","1498606","1577807","65655","58489"
"58490","440081","612883","339293","58490"
"58491","1073723","1030544","252902","58491"
"58495","821698","1800973","411298","58495"
"58496","1844172","958485","209701","58496"
"58497","800147","807357","2103338","58497"
"58500","454494","2225764","728132","58500"
"58503","612878","843359","1822601","58503"
"58510","51267","476135","130482","58510"
"58524","339273","2391365","173665","58524"
"58544","1088169","2621754","1534602","58544"
"58546","1700217","1239377","562529","58546"
"58549","1714614","1527397","188113","58549"
"58551","1988196","8137","1462603","58551"
"58553","44110","440089","58540","58553"
"58555","29665","224128","699320","58555"
"58556","1750605","188145","202488","58556"
"58557","375287","353743","375346","58557"
"58574","36970","36971","22571","58574"
"58582","152178","166576",NA,"58582"
"58587","80186","87391","87380","58587"
"58588","51384","22581","108981","58588"
"58589","58586","116186","130580","58589"
"65540","346341","65561","562346","65540"
"65542","425543","461546","115941","65542"
"65548","295952","612751","526358","65548"
"65549","295940","15152","540746","65549"
"65550","115948","454341","209540","65550"
"65553","209548","511948","576751","65553"
"65558","346346","151954","108754","65558"
"65651","1131299","238492","569689","65651"
"65653","936968","1520195","1297004","65653"
"65654","1916214","202471","692126","65654"
"65657","562513","2297777","1937762","65657"
"65661","245667","130515","173669","65661"
"65662","332151","396891","1585006","65662"
"65663","1534549","569737","2139423","65663"
"65664","360938","1836994","663371","65664"
"65665","1822594","137688","281673","65665"
"65666","677734","389685","749721","65666"
"65669","440139","130487","108866","65669"
"65670","792916","447333","1325795","65670"
"65671","209688","22488","144936","65671"
"65672","303334","2038591","1556199","65672"
"65684","2362541","2146600","1505800","65684"
"65687","281692","771319","562487","65687"
